2.00, -0.06, 1070756.00
2.58, 0.04, 1070773.00
2.92, 0.13, 1070790.00
2.60, 0.20, 1070807.00
1.81, 0.27, 1070824.00
1.90, 0.31, 1070841.00
2.27, 0.34, 1070858.00
1.33, 0.35, 1070875.00
1.14, 0.34, 1070892.00
0.81, 0.31, 1070909.00
0.73, 0.27, 1070926.00
0.56, 0.21, 1070943.00
0.55, 0.14, 1070960.00
0.32, 0.07, 1070977.00
0.32, -0.02, 1070994.00
0.36, -0.10, 1071011.00
0.41, -0.18, 1071028.00
0.52, -0.25, 1071045.00
0.73, -0.31, 1071062.00
0.94, -0.36, 1071079.00
1.06, -0.39, 1071096.00
1.41, -0.40, 1071113.00
2.06, -0.40, 1071130.00
2.52, -0.39, 1071147.00
3.64, -0.36, 1071164.00
3.99, -0.31, 1071181.00
3.78, -0.24, 1071198.00
3.97, -0.15, 1071215.00
3.61, -0.04, 1071232.00
1.85, 0.07, 1071249.00
1.82, 0.20, 1071266.00
4.54, 0.34, 1071283.00
1.72, 0.48, 1071300.00
2.96, 0.61, 1071317.00
2.80, 0.73, 1071334.00
1.20, 0.85, 1071351.00
0.94, 0.94, 1071368.00
1.08, 1.02, 1071385.00
1.28, 1.08, 1071402.00
1.04, 1.11, 1071419.00
1.03, 1.11, 1071436.00
1.09, 1.09, 1071453.00
1.09, 1.04, 1071470.00
1.04, 0.97, 1071487.00
1.03, 0.87, 1071504.00
1.03, 0.76, 1071521.00
0.99, 0.62, 1071538.00
0.94, 0.48, 1071555.00
0.95, 0.32, 1071572.00
0.97, 0.16, 1071589.00
0.97, 0.01, 1071606.00
0.97, -0.15, 1071623.00
0.96, -0.29, 1071640.00
0.99, -0.41, 1071657.00
1.00, -0.52, 1071674.00
1.02, -0.60, 1071691.00
1.04, -0.67, 1071708.00
1.05, -0.71, 1071725.00
1.01, -0.72, 1071742.00
1.09, -0.71, 1071759.00
1.19, -0.67, 1071776.00
1.25, -0.62, 1071793.00
STEP DETECTED: 1071487.00
1.34, -0.55, 1071810.00
1.47, -0.46, 1071827.00
1.60, -0.36, 1071844.00
1.85, -0.26, 1071861.00
2.20, -0.15, 1071878.00
2.52, -0.05, 1071895.00
2.81, 0.05, 1071912.00
1.96, 0.13, 1071929.00
1.73, 0.20, 1071946.00
2.02, 0.26, 1071963.00
1.73, 0.30, 1071980.00
1.24, 0.31, 1071997.00
0.99, 0.31, 1072014.00
0.68, 0.29, 1072031.00
0.59, 0.25, 1072048.00
0.51, 0.19, 1072065.00
0.39, 0.12, 1072082.00
0.35, 0.05, 1072099.00
0.42, -0.03, 1072116.00
0.45, -0.12, 1072133.00
0.51, -0.20, 1072150.00
0.73, -0.27, 1072167.00
