2.13, -0.45, 253464.00
2.77, -0.48, 253481.00
2.97, -0.50, 253498.00
3.23, -0.50, 253515.00
2.71, -0.49, 253532.00
2.30, -0.47, 253549.00
1.69, -0.44, 253566.00
STEP DETECTED: 253175.00
2.14, -0.39, 253583.00
1.23, -0.34, 253600.00
1.06, -0.27, 253617.00
2.47, -0.20, 253634.00
2.36, -0.11, 253651.00
2.52, -0.02, 253668.00
2.56, 0.07, 253685.00
2.09, 0.17, 253702.00
1.86, 0.27, 253719.00
1.18, 0.36, 253736.00
0.50, 0.46, 253753.00
0.33, 0.55, 253770.00
0.46, 0.63, 253787.00
0.62, 0.70, 253804.00
0.74, 0.76, 253821.00
1.09, 0.80, 253838.00
1.42, 0.84, 253855.00
1.64, 0.85, 253872.00
2.12, 0.85, 253889.00
3.15, 0.84, 253906.00
3.81, 0.81, 253923.00
5.16, 0.76, 253940.00
5.03, 0.70, 253957.00
4.52, 0.62, 253974.00
4.06, 0.53, 253991.00
3.04, 0.43, 254008.00
3.49, 0.33, 254025.00
4.35, 0.22, 254042.00
1.15, 0.11, 254059.00
1.42, -0.01, 254076.00
1.99, -0.11, 254093.00
1.40, -0.22, 254110.00
1.40, -0.31, 254127.00
1.57, -0.39, 254144.00
2.16, -0.46, 254161.00
3.01, -0.52, 254178.00
3.17, -0.56, 254195.00
3.26, -0.59, 254212.00
2.62, -0.59, 254229.00
2.18, -0.59, 254246.00
1.61, -0.56, 254263.00
1.84, -0.52, 254280.00
STEP DETECTED: 253940.00
1.22, -0.46, 254297.00
1.01, -0.40, 254314.00
2.17, -0.31, 254331.00
2.18, -0.22, 254348.00
2.20, -0.12, 254365.00
2.16, -0.02, 254382.00
1.87, 0.09, 254399.00
2.20, 0.20, 254416.00
2.39, 0.30, 254433.00
1.77, 0.41, 254450.00
0.42, 0.50, 254467.00
0.41, 0.59, 254484.00
0.66, 0.67, 254501.00
0.82, 0.74, 254518.00
1.09, 0.79, 254535.00
1.26, 0.83, 254552.00
1.74, 0.86, 254569.00
2.37, 0.87, 254586.00
2.80, 0.86, 254603.00
4.05, 0.84, 254620.00
5.22, 0.80, 254637.00
5.30, 0.75, 254654.00
4.41, 0.68, 254671.00
4.33, 0.61, 254688.00
2.91, 0.52, 254705.00
1.93, 0.42, 254722.00
1.18, 0.31, 254739.00
3.96, 0.21, 254756.00
4.02, 0.09, 254773.00
1.57, -0.02, 254790.00
1.51, -0.13, 254807.00
1.86, -0.23, 254824.00
1.41, -0.33, 254841.00
1.43, -0.41, 254858.00
1.63, -0.49, 254875.00
2.13, -0.55, 254892.00
2.52, -0.60, 254909.00
2.60, -0.63, 254926.00
2.83, -0.64, 254943.00
2.42, -0.64, 254960.00
